ch1,ch2,frequency
2.3928288885537235e-08,2.6788243732414192e-08,4074503.764665375
2.3482848663487982e-08,2.6914712879532236e-08,4087219.4222174585
2.2592570054927858e-08,2.713650467919605e-08,4099935.0797695415
2.2846235302786013e-08,2.6563911979317253e-08,4112650.737321625
2.3735374981633322e-08,2.602312196781485e-08,4125366.3948737085
2.468802092661611e-08,2.614960260309531e-08,4138082.0524257915
2.532289558314518e-08,2.630785137119725e-08,4150797.709977875
2.4941036993830626e-08,2.6561410097888412e-08,4163513.3675299585
2.4177942239118196e-08,2.665610189043386e-08,4176229.0250820415
2.405029511213307e-08,2.6178920967500196e-08,4188944.682634125
2.4494511458778205e-08,2.5860612616660772e-08,4201660.3401862085
2.481163213052001e-08,2.5828241897711616e-08,4214375.9977382915
2.481105613989845e-08,2.6399472025935482e-08,4227091.655290375
2.468341110308545e-08,2.7320120397237436e-08,4239807.3128424585
2.4238104744860933e-08,2.7764224832252237e-08,4252522.9703945415
2.360222348313936e-08,2.760475397960714e-08,4265238.627946625
2.350638424041009e-08,2.696881110825428e-08,4277954.2854987085
2.369643248529867e-08,2.6428192798617287e-08,4290669.9430507915
2.3759417503202337e-08,2.6078184184664597e-08,4303385.600602875
2.3854164041427927e-08,2.6331693728819913e-08,4316101.2581549585
2.3504232785519023e-08,2.6204043308179996e-08,4328816.9157070415
2.2963748137326314e-08,2.5917591258725138e-08,4341532.573259125
2.2899704713212232e-08,2.534530424569121e-08,4354248.2308112085
